"","statistics","layersdepths","ID","lat","long","ph","om","clay","sand","silt","bd","hb","n","ksat","theta_r","theta_s","lambda","alpha"
"2081","mean","15_30",107918320,47.6091383333,-122.2975833333,5.57209014892578,0.878412747735398,6.15591382980347,59.4130859375,28.8633689880371,1.20205473899841,0.839358827249129,1.47905278205872,4.51288834784301,0.0312199424952269,0.546394467353821,0.410491228103638,1.1933674688983
"2082","mean","15_30",107918973,47.6050716667,-122.306275,5.63706541061401,0.688149712255663,6.736328125,58.2822265625,30.074634552002,1.15614485740662,0.835664616050176,1.4866201877594,3.42147776295337,0.0323561653494835,0.563718974590302,0.409509718418121,1.19250822241923
"2083","mean","15_30",107919816,47.6032116667,-122.29895,5.59289264678955,0.859910243294655,6.26292657852173,59.316764831543,28.9941177368164,1.19151747226715,0.836881048812828,1.4793541431427,4.30388075850083,0.0310635380446911,0.550370752811432,0.410289466381073,1.19701584432945
"2084","mean","15_30",107920288,47.6020083333,-122.293725,5.62051296234131,0.72639960058541,6.55859375,58.5875473022461,29.7264709472656,1.17342138290405,0.834602110267906,1.48583340644836,3.49100196884352,0.0317148417234421,0.557199597358704,0.409720808267593,1.19104874933954
"2085","mean","15_30",107921136,47.5999333333,-122.296105,5.57703161239624,0.860722488480854,6.12085771560669,59.377311706543,29.1862163543701,1.20894837379456,0.8428291672567,1.47945988178253,4.44612047493209,0.0314755402505398,0.543793082237244,0.410570234060287,1.18864937507225
"2086","mean","15_30",107925828,47.5963783333,-122.2877883333,5.59443807601929,0.881939100517325,6.36999034881592,59.4045791625977,29.9228515625,1.1811089515686,0.839724284794034,1.47881603240967,4.26468408650068,0.030863281339407,0.554298520088196,0.410123884677887,1.20399925865401
"2087","mean","15_30",108133723,47.6512716667,-122.3488216667,5.55651664733887,1.0058467849286,6.16015625,59.8957138061523,28.0356121063232,1.1887891292572,0.841367190882301,1.47437810897827,5.00833581776497,0.0299217998981476,0.551400363445282,0.409518510103226,1.21244787353382
"2088","mean","15_30",108617146,47.69043,-122.2934633333,5.4992151260376,1.43935408711268,8.59872913360596,52.4382400512695,29.117561340332,1.12839686870575,1.15948924964389,1.42088222503662,3.51311755488085,0.0361192561686039,0.574189901351929,0.378872692584991,0.860654020301801
"2089","mean","15_30",108617731,47.6923833333,-122.2836,5.54263782501221,1.3096357978809,7.287109375,58.6712341308594,27.7879524230957,1.14937925338745,0.955760133036751,1.44592308998108,4.91971911073809,0.0332343764603138,0.566272020339966,0.389164388179779,1.02601710125433
"2090","mean","15_30",108618443,47.6925416667,-122.2825616667,5.58919429779053,1.42503976009669,7.77902412414551,55.5519599914551,30.5911769866943,1.11483371257782,0.992471419264587,1.42980206012726,3.89752973594051,0.034776471555233,0.579308032989502,0.382930904626846,0.976929027181377
"2091","mean","15_30",108618985,47.692955,-122.282525,5.53657054901123,1.40054254918631,6.93512201309204,59.7076416015625,27.1327133178711,1.14483428001404,0.908042218256569,1.45254397392273,5.16706968883115,0.0324760042130947,0.567987084388733,0.397499024868011,1.10600564044015
"2092","mean","15_30",108627260,47.69635,-122.280045,5.6597695350647,2.03850694122126,10.8128652572632,48.5372543334961,34.6505355834961,1.16871345043182,1.24157957793296,1.40870833396912,4.9429420827648,0.0403789058327675,0.558976054191589,0.366017043590546,0.80334616798487
"2093","mean","15_30",108627268,47.6978833333,-122.280005,5.61710357666016,1.95469076380913,10.559513092041,45.8404846191406,36.8372650146484,1.1306060552597,1.24478224291214,1.40193891525269,3.31056492996706,0.0394577607512474,0.573356151580811,0.361021935939789,0.778530362999967
"2094","mean","15_30",108627321,47.6993466667,-122.2960133333,5.63706493377686,1.42408721649244,8.5791015625,49.0019683837891,35.9730110168457,1.13928782939911,1.11272830735458,1.42446291446686,3.60623218602617,0.0345719903707504,0.570080041885376,0.377975642681122,0.888849277033497
"2095","mean","15_30",108627364,47.7045166667,-122.28543,5.6105432510376,3.89642850040995,16.1048774719238,35.2238998413086,45.1425094604492,1.06713163852692,1.65606488564831,1.36509549617767,4.58927852261011,0.0477170720696449,0.597308814525604,0.341499984264374,0.594036619371802
"2096","mean","15_30",108627414,47.711025,-122.2811366667,5.6686315536499,1.59045012842977,7.30626201629639,57.8232421875,30.163064956665,1.14049863815308,0.969427463547805,1.43730449676514,7.62158240840739,0.0314193554222584,0.569623231887817,0.387437492609024,1.01947301798143
"2097","mean","15_30",108627665,47.714175,-122.2803033333,5.61503505706787,1.57072938115069,8.15719795227051,56.125,29.751220703125,1.19632196426392,1.03666785246503,1.43793857097626,6.96007525622312,0.0344187840819359,0.548557758331299,0.386488318443298,0.924345110390387
"2098","mean","15_30",108627812,47.73193,-122.289445,5.52169179916382,1.60669988631253,8.44134902954102,53.9975509643555,31.0259552001953,1.10727095603943,1.0652137071212,1.42753434181213,3.78019472373296,0.035300686955452,0.582161903381348,0.381403505802155,0.930776481051767
"2099","mean","15_30",108628000,47.6941716667,-122.2755583333,5.57703113555908,1.89377678855795,9.59649085998535,49.8029441833496,34.2687797546387,1.15601372718811,1.171893613312,1.40888667106628,4.55833151214784,0.0403734147548676,0.56376838684082,0.367368429899216,0.839535414953173
"2100","mean","15_30",108640007,47.37045,-122.2457283333,6.1045937538147,1.31454544956661,6.3876953125,72.9234237670898,18.244140625,1.40560960769653,1.11529399979598,1.4498291015625,24.604805730758,0.039958942681551,0.469581246376038,0.39450877904892,0.88678868259837
"2101","mean","15_30",108658033,47.46808271,-122.22543268,5.93923711776733,3.68148817086833,24.9839019775391,11.9208984375,61.056640625,1.23080229759216,3.77139400098601,1.24666428565979,1.79614327459703,0.0811726823449135,0.53554630279541,0.251991212368011,0.268556718260891
"2102","mean","15_30",108759155,47.44045263,-122.19290703,5.59387493133545,0.827087245772505,6.23020505905151,59.1907348632812,29.3255348205566,1.20073318481445,0.843151207044916,1.47959876060486,4.17843949840856,0.0315210148692131,0.546893119812012,0.410359919071198,1.18915908011067
"2103","mean","15_30",108770267,47.4358686313,-122.1807960793,5.66830444335938,0.87699688670145,7.8958945274353,54.6953125,30.2880859375,1.18819963932037,1.00229575000595,1.4383317232132,2.79295210799278,0.0328912846744061,0.551622807979584,0.389640331268311,0.998515565511477
"2104","mean","15_30",108770497,47.4690523469,-122.1590209007,5.94283819198608,2.59326293243748,13.5068492889404,28.4090900421143,56.5244140625,1.20076024532318,2.36260906895065,1.34038650989532,3.74054946645386,0.048845399171114,0.546882927417755,0.3188756108284,0.430059780202986
"2105","mean","15_30",108773144,47.47884659,-122.15810283,5.49998474121094,1.06702308955148,6.39149570465088,60.1666679382324,28.2176475524902,1.23714983463287,0.871724116039206,1.47382354736328,5.86068351946346,0.0340782776474953,0.533150970935822,0.409458160400391,1.1570868319198
"2106","mean","15_30",108776483,47.47559078,-122.17638111,5.83914184570312,2.89926413790327,14.816764831543,19.0303325653076,62.8974761962891,1.19833171367645,2.75331803942923,1.32230484485626,2.71842720632961,0.0529813915491104,0.547799348831177,0.305950731039047,0.363110647414229
"2107","mean","15_30",108776540,47.47582608,-122.17642567,5.83727407455444,3.07387045860695,15.191707611084,22.0053558349609,59.2260246276855,1.18726563453674,2.62369240055358,1.32446384429932,2.85821576314955,0.0532468259334564,0.551975250244141,0.305470764636993,0.384859440619104
"2108","mean","15_30",108776574,47.46714686,-122.16436841,5.97262620925903,3.67860878180223,23.2637252807617,13.8600006103516,61.224609375,1.22793364524841,3.71436567980984,1.25947260856628,1.89224081822313,0.0785859376192093,0.536628842353821,0.258985340595245,0.278483318047544
"2109","mean","15_30",108776616,47.46718618,-122.16445402,5.95464468002319,3.46991079688297,23.0900192260742,14.5983457565308,60.4279479980469,1.22664380073547,3.5653972911117,1.26113140583038,1.82336988655451,0.0781251266598701,0.537115514278412,0.259833335876465,0.285076187626733
"2110","mean","15_30",108776635,47.46756614,-122.16531245,6.10084295272827,1.3107933896738,6.349609375,73.1715393066406,18.1507320404053,1.40556645393372,1.11464136423974,1.45001220703125,25.0532820017035,0.0399025343358517,0.469597637653351,0.394493162631989,0.887363904726497
"2111","mean","15_30",108776647,47.46697114,-122.1744248,5.63530111312866,0.696278841037997,6.79814291000366,58.5019416809082,29.7152652740479,1.14316415786743,0.829223441417175,1.48529422283173,3.43773367009194,0.0323428027331829,0.568617343902588,0.408973693847656,1.20025966887825
"2112","mean","15_30",108835581,47.5342,-122.3379966667,5.49875068664551,1.13789284569019,6.68688869476318,57.1023483276367,31.0210151672363,1.25442266464233,0.887343064333089,1.4598091840744,5.48480125585609,0.037231370806694,0.526632964611053,0.406065702438354,1.1044276121934
